Read new prefs: /homes/zl3114/.config/blender/2.78/config/userpref.blend
found bundled python: /homes/zl3114/blender/2.78/python
read blend: /homes/zl3114/bdep/sample1/job.blend
Fra:1 Mem:20.88M (0.00M, Peak 20.88M) | Time:00:00.31 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Sphere.003
Fra:1 Mem:24.96M (0.00M, Peak 27.76M) | Time:00:00.68 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Mesh | Computing attributes
Fra:1 Mem:24.96M (0.00M, Peak 27.76M) | Time:00:00.68 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:24.96M (0.00M, Peak 27.76M) | Time:00:00.68 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Scene BVH | Building
Fra:1 Mem:24.96M (0.00M, Peak 27.76M) | Time:00:00.68 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:28.59M (0.00M, Peak 28.59M) | Time:00:00.76 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Scene BVH | Packing BVH triangles and strands
Fra:1 Mem:31.98M (0.00M, Peak 31.98M) | Time:00:00.76 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Scene BVH | Packing BVH nodes
Fra:1 Mem:30.22M (0.00M, Peak 33.13M) | Time:00:00.78 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:30.47M (0.00M, Peak 33.13M) | Time:00:00.80 | Mem:5.27M, Peak:5.27M | Scene, RenderLayer | Updating Mesh | Computing normals
Fra:1 Mem:32.65M (0.00M, Peak 33.13M) | Time:00:00.80 | Mem:5.27M, Peak:5.27M | Scene, RenderLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:32.40M (0.00M, Peak 33.13M) | Time:00:00.80 | Mem:7.45M, Peak:7.45M | Scene, RenderLayer | Updating Objects Flags
Fra:1 Mem:32.40M (0.00M, Peak 33.13M) | Time:00:00.80 | Mem:7.45M, Peak:7.45M | Scene, RenderLayer | Updating Images
Fra:1 Mem:32.40M (0.00M, Peak 33.13M) | Time:00:00.80 | Mem:7.45M, Peak:7.45M | Scene, RenderLayer | Updating Camera Volume
Fra:1 Mem:32.40M (0.00M, Peak 33.13M) | Time:00:00.80 | Mem:7.45M, Peak:7.45M | Scene, RenderLayer | Updating Hair Systems
Fra:1 Mem:32.40M (0.00M, Peak 33.13M) | Time:00:00.80 | Mem:7.45M, Peak:7.45M | Scene, RenderLayer | Updating Hair settings | Copying Hair settings to device
Fra:1 Mem:32.40M (0.00M, Peak 33.13M) | Time:00:00.80 | Mem:7.45M, Peak:7.45M | Scene, RenderLayer | Updating Lookup Tables
Fra:1 Mem:32.40M (0.00M, Peak 33.13M) | Time:00:00.80 | Mem:7.70M, Peak:7.70M | Scene, RenderLayer | Updating Lights
Fra:1 Mem:32.40M (0.00M, Peak 33.13M) | Time:00:00.80 | Mem:7.70M, Peak:7.70M | Scene, RenderLayer | Updating Lights | Computing distribution
Fra:1 Mem:32.65M (0.00M, Peak 33.13M) | Time:00:00.81 | Mem:7.94M, Peak:7.94M | Scene, RenderLayer | Updating Particle Systems
Fra:1 Mem:32.65M (0.00M, Peak 33.13M) | Time:00:00.81 | Mem:7.94M, Peak:7.94M | Scene, RenderLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:32.65M (0.00M, Peak 33.13M) | Time:00:00.81 | Mem:7.94M, Peak:7.94M | Scene, RenderLayer | Updating Integrator
Fra:1 Mem:32.69M (0.00M, Peak 33.13M) | Time:00:00.81 | Mem:7.98M, Peak:7.98M | Scene, RenderLayer | Updating Film
Fra:1 Mem:32.69M (0.00M, Peak 33.13M) | Time:00:00.81 | Mem:7.98M, Peak:7.98M | Scene, RenderLayer | Updating Lookup Tables
Fra:1 Mem:32.69M (0.00M, Peak 33.13M) | Time:00:00.81 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Updating Baking
Fra:1 Mem:32.69M (0.00M, Peak 33.13M) | Time:00:00.81 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Updating Device | Writing constant memory
Fra:1 Mem:32.69M (0.00M, Peak 33.13M) | Time:00:00.81 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 0/135
Fra:1 Mem:32.83M (0.00M, Peak 33.13M) | Time:00:00.81 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 1/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:00.83 | Remaining:17:46.60 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 2/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:01.08 | Remaining:01:17.48 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 3/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:01.34 | Remaining:00:54.17 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 4/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:01.65 | Remaining:00:47.96 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 5/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:01.91 | Remaining:00:43.60 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 6/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:02.23 | Remaining:00:42.17 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 7/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:02.53 | Remaining:00:40.60 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 8/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:02.80 | Remaining:00:39.08 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 9/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:03.16 | Remaining:00:38.86 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 10/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:03.50 | Remaining:00:38.51 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 11/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:03.80 | Remaining:00:37.75 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 12/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:03.83 | Remaining:00:37.66 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 13/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:04.10 | Remaining:00:37.10 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 14/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:04.40 | Remaining:00:36.39 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 15/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:04.63 | Remaining:00:35.34 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 16/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:04.87 | Remaining:00:34.43 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 17/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:05.15 | Remaining:00:33.83 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 18/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:05.45 | Remaining:00:33.46 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 19/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:05.91 | Remaining:00:33.91 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 20/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:06.31 | Remaining:00:34.01 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 21/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:06.63 | Remaining:00:33.64 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 22/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:06.81 | Remaining:00:33.49 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 23/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:06.99 | Remaining:00:33.45 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 24/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:07.35 | Remaining:00:33.27 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 25/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:07.77 | Remaining:00:33.33 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 26/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:08.09 | Remaining:00:32.95 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 27/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:08.37 | Remaining:00:32.46 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 28/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:08.68 | Remaining:00:32.08 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 29/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:09.02 | Remaining:00:31.77 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 30/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:09.29 | Remaining:00:31.28 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 31/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:09.55 | Remaining:00:30.74 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 32/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:09.90 | Remaining:00:30.49 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 33/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:10.18 | Remaining:00:30.16 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 34/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:10.21 | Remaining:00:30.12 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 35/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:10.55 | Remaining:00:29.86 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 36/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:10.94 | Remaining:00:29.70 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 37/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:11.33 | Remaining:00:29.54 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 38/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:11.71 | Remaining:00:29.34 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 39/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:12.01 | Remaining:00:28.95 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 40/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:12.35 | Remaining:00:28.64 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 41/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:12.64 | Remaining:00:28.23 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 42/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:12.90 | Remaining:00:27.77 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 43/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:13.22 | Remaining:00:27.42 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 44/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:13.50 | Remaining:00:27.01 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 45/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:13.68 | Remaining:00:26.65 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 46/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:13.78 | Remaining:00:26.62 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 47/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:14.15 | Remaining:00:26.35 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 48/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:14.50 | Remaining:00:26.06 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 49/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:14.77 | Remaining:00:25.63 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 50/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:15.10 | Remaining:00:25.31 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 51/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:15.43 | Remaining:00:24.97 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 52/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:15.73 | Remaining:00:24.61 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 53/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:16.01 | Remaining:00:24.21 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 54/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:16.29 | Remaining:00:23.83 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 55/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:16.58 | Remaining:00:23.56 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 56/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:16.62 | Remaining:00:23.50 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 57/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:16.94 | Remaining:00:23.18 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 58/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:17.25 | Remaining:00:22.84 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 59/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:17.56 | Remaining:00:22.50 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 60/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:17.81 | Remaining:00:22.09 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 61/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:18.08 | Remaining:00:21.72 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 62/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:18.37 | Remaining:00:21.37 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 63/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:18.67 | Remaining:00:21.03 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 64/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:19.01 | Remaining:00:20.72 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 65/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:19.30 | Remaining:00:20.37 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 66/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:19.60 | Remaining:00:20.03 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 67/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:19.74 | Remaining:00:19.85 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 68/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:19.89 | Remaining:00:19.70 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 69/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:20.28 | Remaining:00:19.44 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 70/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:20.57 | Remaining:00:19.09 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 71/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:20.90 | Remaining:00:18.78 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 72/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:21.21 | Remaining:00:18.45 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 73/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:21.47 | Remaining:00:18.08 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 74/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:21.73 | Remaining:00:17.73 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 75/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:22.00 | Remaining:00:17.38 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 76/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:22.26 | Remaining:00:17.03 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 77/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:22.51 | Remaining:00:16.67 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 78/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:22.80 | Remaining:00:16.34 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 79/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:22.91 | Remaining:00:16.27 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 80/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:23.13 | Remaining:00:16.04 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 81/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:23.45 | Remaining:00:15.72 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 82/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:23.80 | Remaining:00:15.42 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 83/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:24.11 | Remaining:00:15.10 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 84/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:24.44 | Remaining:00:14.79 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 85/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:24.76 | Remaining:00:14.48 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 86/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:24.95 | Remaining:00:14.10 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 87/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:25.29 | Remaining:00:13.79 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 88/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:25.55 | Remaining:00:13.46 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 89/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:25.79 | Remaining:00:13.12 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 90/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:26.01 | Remaining:00:12.98 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 91/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:26.13 | Remaining:00:12.81 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 92/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:26.48 | Remaining:00:12.51 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 93/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:26.80 | Remaining:00:12.20 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 94/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:27.09 | Remaining:00:11.87 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 95/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:27.34 | Remaining:00:11.54 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 96/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:27.60 | Remaining:00:11.20 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 97/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:27.85 | Remaining:00:10.87 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 98/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:28.12 | Remaining:00:10.55 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 99/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:28.41 | Remaining:00:10.23 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 100/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:28.67 | Remaining:00:09.90 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 101/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:28.89 | Remaining:00:09.61 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 102/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:28.92 | Remaining:00:09.57 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 103/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:29.17 | Remaining:00:09.25 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 104/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:29.41 | Remaining:00:08.93 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 105/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:29.77 | Remaining:00:08.63 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 106/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:30.03 | Remaining:00:08.32 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 107/135
